gene,relevance,abs_relevance,input_value
TSPAN8,-0.47463608,0.47463608,0.13679945
KCNJ15,0.4688909,0.4688909,-1.6032358
SPINT2,0.46643707,0.46643707,-2.7745242
CYP46A1,-0.46604034,0.46604034,2.3507216
TRIM9,0.45655522,0.45655522,2.1007378
NLGN1,-0.45366934,0.45366934,1.6311613
LRRC4B,-0.45342147,0.45342147,2.454607
B3GAT1,-0.4524942,0.4524942,2.0254803
GALNT12,0.44934434,0.44934434,-1.8552288
CTNND2,-0.44838685,0.44838685,2.0982594
HGD,0.44509417,0.44509417,-1.4817401
ASTN1,-0.44508985,0.44508985,2.376326
SCN1A,0.44220108,0.44220108,1.8520858
GRID1,-0.4405069,0.4405069,1.8478148
FAM163B,-0.43906996,0.43906996,2.441755
PLP1,-0.43629032,0.43629032,3.2538412
SYT11,-0.4334433,0.4334433,2.7725503
SLC1A2,0.42599726,0.42599726,2.406565
